test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,sync_vs_async,00:01:40,sync_call,968,917,51,9.2,108.02,392.69,8604.01,316.42,387.33,757.76,1122.3,514.56,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,sync_vs_async,00:01:40,async_call,915,866,49,8.7,69.31,605.79,5707.73,581.63,681.47,853.5,1043.97,326.08,0,0,0,0
