test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,sync_vs_async,00:01:40,sync_call,951,914,37,9.1,125.05,411.52,10834.89,325.38,384.51,503.81,945.66,834.61,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,sync_vs_async,00:01:40,async_call,910,891,19,8.9,107.34,618.45,1084.07,606.72,718.85,896,999.42,153.54,0,0,0,0
